Winner,title_bout,weight_class,gender,no_of_rounds,B_current_streak,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_decision,B_win_finish,B_Stance,B_Height_cms,B_Reach_cms,R_current_streak,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_decision,R_win_finish,R_Stance,R_Height_cms,R_Reach_cms,R_age,B_age,streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,decision_dif,finish_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,B_match_weightclass_rank,R_match_weightclass_rank,better_rank,rank_diff,B_is_35plus,R_is_35plus,year
Red,True,Lightweight,MALE,5,1,6.19,0.57,0.2,1.84,0.37,1,50,7,8,5,Orthodox,167.64,180.34,12,2.46,0.6,1.0,3.17,0.6,1,33,2,5,8,Southpaw,177.8,177.8,31,35,-11,0,0,17,5,3,-3,-10.159999999999997,2.539999999999992,4,3.73,-0.8,-1.3299999999999998,20.0,0.0,Red,20.0,1.0,0.0,2023
Blue,False,Middleweight,MALE,3,6,5.72,0.58,2.7,3.99,0.46,0,9,0,1,5,Orthodox,187.96,190.5,-2,4.36,0.52,0.1,2.82,0.45,2,63,9,10,5,Switch,182.88,193.04,36,29,8,-9,-2,-54,-9,-9,0,5.0800000000000125,-2.539999999999992,-7,1.3599999999999994,2.6,1.1700000000000004,20.0,20.0,neither,0.0,0.0,1.0,2023
Red,False,Middleweight,MALE,3,-2,3.25,0.48,0.9,1.35,0.5,6,33,1,2,6,Orthodox,180.34,182.88,2,8.24,0.65,2.3,2.33,0.33,0,2,0,0,2,Southpaw,182.88,193.04,30,32,-4,6,6,31,1,2,4,-2.539999999999992,-10.159999999999997,2,-4.99,-1.4,-0.98,20.0,20.0,neither,0.0,0.0,0.0,2023
Red,False,Bantamweight,MALE,3,-2,2.98,0.41,0.0,2.4,0.26,2,6,0,0,0,Southpaw,170.18,172.72,-1,3.55,0.47,1.4,1.01,0.16,2,17,0,2,4,Orthodox,172.72,177.8,31,27,-1,-6,0,-11,0,-2,-4,-2.539999999999992,-5.0800000000000125,-4,-0.5699999999999998,-1.4,1.39,20.0,20.0,neither,0.0,0.0,0.0,2023
Blue,False,Flyweight,MALE,3,4,1.12,0.51,1.3,6.47,0.53,0,10,0,1,3,Orthodox,170.18,177.8,2,3.41,0.44,1.0,3.73,0.47,10,48,1,7,1,Southpaw,170.18,167.64,36,23,2,-4,-10,-38,-1,-6,2,0.0,10.159999999999997,-13,-2.29,0.3,2.74,11.0,10.0,Red,1.0,0.0,1.0,2023
Blue,False,Lightweight,MALE,3,-1,5.09,0.56,0.0,1.76,0.5,1,6,0,0,2,Switch,175.26,177.8,0,2.87,0.46,1.0,1.0,1.0,0,0,0,0,0,Switch,175.26,185.42,29,28,-1,2,1,6,0,0,2,0.0,-7.620000000000003,-1,2.22,-1.0,0.76,20.0,20.0,neither,0.0,0.0,0.0,2023
Blue,False,Middleweight,MALE,3,1,1.88,0.49,0.4,0.77,0.5,1,6,0,1,1,Orthodox,187.96,200.66,-1,4.38,0.43,0.0,1.0,0.37,1,6,0,1,0,Orthodox,175.26,193.04,37,28,2,1,0,0,0,0,1,12.700000000000015,7.620000000000003,-9,-2.5,0.4,-0.2299999999999999,20.0,20.0,neither,0.0,0.0,1.0,2023
Red,False,Lightweight,MALE,3,2,6.48,0.46,0.4,0.82,0.18,0,5,0,1,1,Switch,182.88,175.26,-4,5.75,0.45,0.0,0.98,0.3,4,8,0,0,0,Orthodox,177.8,177.8,34,28,6,2,-4,-3,0,1,1,5.079999999999984,-2.5400000000000205,-6,0.7300000000000004,0.4,-0.16,20.0,20.0,neither,0.0,0.0,0.0,2023
Blue,False,Featherweight,MALE,3,1,3.37,0.46,0.0,1.58,0.28,1,5,0,0,1,Orthodox,175.26,177.8,3,5.91,0.5,0.5,1.74,0.48,2,25,0,4,3,Orthodox,167.64,175.26,30,29,-2,-6,-1,-20,0,-4,-2,7.619999999999976,2.5400000000000205,-1,-2.54,-0.5,-0.1599999999999999,20.0,20.0,neither,0.0,0.0,0.0,2023
Red,False,Women's Strawweight,FEMALE,3,-3,2.97,0.43,0.3,1.02,0.36,5,19,0,2,0,Southpaw,160.02,165.1,2,3.14,0.52,0.0,2.45,0.41,0,4,0,1,1,Orthodox,165.1,170.18,24,38,-5,0,5,15,0,1,-1,-5.079999999999984,-5.0800000000000125,14,-0.1699999999999999,0.3,-1.4300000000000002,20.0,20.0,neither,0.0,1.0,0.0,2023
